,MSOA11CD,MSOA11NM,CHGIND,MSOA21CD,MSOA21NM,LAD22CD,LAD22NM,LAD22NMW,ObjectId,GM
4102,E02000984,Bolton 001,,E02000984,Bolton 001,E08000001,Bolton,,4103,True
4109,E02000985,Bolton 002,,E02000985,Bolton 002,E08000001,Bolton,,4110,True
4116,E02000986,Bolton 003,,E02000986,Bolton 003,E08000001,Bolton,,4117,True
4117,E02000987,Bolton 004,,E02000987,Bolton 004,E08000001,Bolton,,4118,True
4118,E02000988,Bolton 005,,E02000988,Bolton 005,E08000001,Bolton,,4119,True
4119,E02000989,Bolton 006,,E02000989,Bolton 006,E08000001,Bolton,,4120,True
4120,E02000990,Bolton 007,,E02000990,Bolton 007,E08000001,Bolton,,4121,True
4121,E02000991,Bolton 008,,E02000991,Bolton 008,E08000001,Bolton,,4122,True
4122,E02000992,Bolton 009,,E02000992,Bolton 009,E08000001,Bolton,,4123,True
4123,E02000993,Bolton 010,,E02000993,Bolton 010,E08000001,Bolton,,4124,True
4124,E02000994,Bolton 011,,E02000994,Bolton 011,E08000001,Bolton,,4125,True
4125,E02000995,Bolton 012,,E02000995,Bolton 012,E08000001,Bolton,,4126,True
4126,E02000996,Bolton 013,,E02000996,Bolton 013,E08000001,Bolton,,4127,True
4127,E02000997,Bolton 014,,E02000997,Bolton 014,E08000001,Bolton,,4128,True
4128,E02000998,Bolton 015,,E02000998,Bolton 015,E08000001,Bolton,,4129,True
4129,E02000999,Bolton 016,,E02000999,Bolton 016,E08000001,Bolton,,4130,True
4130,E02001000,Bolton 017,,E02001000,Bolton 017,E08000001,Bolton,,4131,True
4131,E02001001,Bolton 018,,E02001001,Bolton 018,E08000001,Bolton,,4132,True
4132,E02001002,Bolton 019,,E02001002,Bolton 019,E08000001,Bolton,,4133,True
4133,E02001003,Bolton 020,,E02001003,Bolton 020,E08000001,Bolton,,4134,True
4134,E02001004,Bolton 021,,E02001004,Bolton 021,E08000001,Bolton,,4135,True
4135,E02001005,Bolton 022,,E02001005,Bolton 022,E08000001,Bolton,,4136,True
4136,E02001006,Bolton 023,,E02001006,Bolton 023,E08000001,Bolton,,4137,True
4137,E02001007,Bolton 024,,E02001007,Bolton 024,E08000001,Bolton,,4138,True
4138,E02001008,Bolton 025,,E02001008,Bolton 025,E08000001,Bolton,,4139,True
4139,E02001009,Bolton 026,,E02001009,Bolton 026,E08000001,Bolton,,4140,True
4140,E02001010,Bolton 027,,E02001010,Bolton 027,E08000001,Bolton,,4141,True
4141,E02001011,Bolton 028,,E02001011,Bolton 028,E08000001,Bolton,,4142,True
4142,E02001012,Bolton 029,,E02001012,Bolton 029,E08000001,Bolton,,4143,True
4143,E02001013,Bolton 030,,E02001013,Bolton 030,E08000001,Bolton,,4144,True
4144,E02001014,Bolton 031,,E02001014,Bolton 031,E08000001,Bolton,,4145,True
4145,E02001015,Bolton 032,,E02001015,Bolton 032,E08000001,Bolton,,4146,True
4146,E02001016,Bolton 033,,E02001016,Bolton 033,E08000001,Bolton,,4147,True
4147,E02001017,Bolton 034,,E02001017,Bolton 034,E08000001,Bolton,,4148,True
4148,E02001018,Bolton 035,,E02001018,Bolton 035,E08000001,Bolton,,4149,True
4149,E02001019,Bury 001,,E02001019,Bury 001,E08000002,Bury,,4150,True
4150,E02001020,Bury 002,,E02001020,Bury 002,E08000002,Bury,,4151,True
4151,E02001021,Bury 003,,E02001021,Bury 003,E08000002,Bury,,4152,True
4152,E02001022,Bury 004,,E02001022,Bury 004,E08000002,Bury,,4153,True
4153,E02001023,Bury 005,,E02001023,Bury 005,E08000002,Bury,,4154,True
4154,E02001024,Bury 006,,E02001024,Bury 006,E08000002,Bury,,4155,True
4155,E02001025,Bury 007,,E02001025,Bury 007,E08000002,Bury,,4156,True
4156,E02001026,Bury 008,,E02001026,Bury 008,E08000002,Bury,,4157,True
4157,E02001027,Bury 009,,E02001027,Bury 009,E08000002,Bury,,4158,True
4158,E02001028,Bury 010,,E02001028,Bury 010,E08000002,Bury,,4159,True
4159,E02001029,Bury 011,,E02001029,Bury 011,E08000002,Bury,,4160,True
4160,E02001030,Bury 012,,E02001030,Bury 012,E08000002,Bury,,4161,True
4400,E02001086,Manchester 042,,E02001086,Manchester 042,E08000003,Manchester,,4401,True
4401,E02001087,Manchester 043,,E02001087,Manchester 043,E08000003,Manchester,,4402,True
4402,E02001088,Manchester 044,,E02001088,Manchester 044,E08000003,Manchester,,4403,True
4403,E02001089,Manchester 045,,E02001089,Manchester 045,E08000003,Manchester,,4404,True
4404,E02001090,Manchester 046,,E02001090,Manchester 046,E08000003,Manchester,,4405,True
4405,E02001091,Manchester 047,,E02001091,Manchester 047,E08000003,Manchester,,4406,True
4406,E02001092,Manchester 048,,E02001092,Manchester 048,E08000003,Manchester,,4407,True
4407,E02001093,Manchester 049,,E02001093,Manchester 049,E08000003,Manchester,,4408,True
4408,E02001094,Manchester 050,,E02001094,Manchester 050,E08000003,Manchester,,4409,True
4409,E02001095,Manchester 051,,E02001095,Manchester 051,E08000003,Manchester,,4410,True
4410,E02001096,Manchester 052,,E02001096,Manchester 052,E08000003,Manchester,,4411,True
4411,E02001097,Manchester 053,,E02001097,Manchester 053,E08000003,Manchester,,4412,True
4412,E02006902,Manchester 054,,E02006902,Manchester 054,E08000003,Manchester,,4413,True
4413,E02006912,Manchester 055,,E02006912,Manchester 055,E08000003,Manchester,,4414,True
4414,E02006913,Manchester 056,,E02006913,Manchester 056,E08000003,Manchester,,4415,True
4415,E02006914,Manchester 057,,E02006914,Manchester 057,E08000003,Manchester,,4416,True
4416,E02006915,Manchester 058,,E02006915,Manchester 058,E08000003,Manchester,,4417,True
4417,E02006916,Manchester 059,,E02006916,Manchester 059,E08000003,Manchester,,4418,True
4418,E02006917,Manchester 060,,E02006917,Manchester 060,E08000003,Manchester,,4419,True
4419,E02001057,Manchester 013,,E02006983,Manchester 061,E08000003,Manchester,,4420,True
4420,E02001057,Manchester 013,,E02006984,Manchester 062,E08000003,Manchester,,4421,True
4421,E02001071,Manchester 027,,E02006985,Manchester 063,E08000003,Manchester,,4422,True
4422,E02001071,Manchester 027,,E02006986,Manchester 064,E08000003,Manchester,,4423,True
4423,E02001098,Oldham 001,,E02001098,Oldham 001,E08000004,Oldham,,4424,True
4424,E02001099,Oldham 002,,E02001099,Oldham 002,E08000004,Oldham,,4425,True
4425,E02001100,Oldham 003,,E02001100,Oldham 003,E08000004,Oldham,,4426,True
4426,E02001101,Oldham 004,,E02001101,Oldham 004,E08000004,Oldham,,4427,True
4427,E02001102,Oldham 005,,E02001102,Oldham 005,E08000004,Oldham,,4428,True
4428,E02001103,Oldham 006,,E02001103,Oldham 006,E08000004,Oldham,,4429,True
4429,E02001104,Oldham 007,,E02001104,Oldham 007,E08000004,Oldham,,4430,True
4430,E02001105,Oldham 008,,E02001105,Oldham 008,E08000004,Oldham,,4431,True
4431,E02001106,Oldham 009,,E02001106,Oldham 009,E08000004,Oldham,,4432,True
4432,E02001107,Oldham 010,,E02001107,Oldham 010,E08000004,Oldham,,4433,True
4433,E02001108,Oldham 011,,E02001108,Oldham 011,E08000004,Oldham,,4434,True
4434,E02001109,Oldham 012,,E02001109,Oldham 012,E08000004,Oldham,,4435,True
4435,E02001110,Oldham 013,,E02001110,Oldham 013,E08000004,Oldham,,4436,True
4436,E02001111,Oldham 014,,E02001111,Oldham 014,E08000004,Oldham,,4437,True
4437,E02001112,Oldham 015,,E02001112,Oldham 015,E08000004,Oldham,,4438,True
4438,E02001113,Oldham 016,,E02001113,Oldham 016,E08000004,Oldham,,4439,True
4439,E02001114,Oldham 017,,E02001114,Oldham 017,E08000004,Oldham,,4440,True
4440,E02001115,Oldham 018,,E02001115,Oldham 018,E08000004,Oldham,,4441,True
4441,E02001116,Oldham 019,,E02001116,Oldham 019,E08000004,Oldham,,4442,True
4442,E02001117,Oldham 020,,E02001117,Oldham 020,E08000004,Oldham,,4443,True
4443,E02001118,Oldham 021,,E02001118,Oldham 021,E08000004,Oldham,,4444,True
4444,E02001119,Oldham 022,,E02001119,Oldham 022,E08000004,Oldham,,4445,True
4445,E02001121,Oldham 024,,E02001121,Oldham 024,E08000004,Oldham,,4446,True
4446,E02001123,Oldham 026,,E02001123,Oldham 026,E08000004,Oldham,,4447,True
4447,E02001124,Oldham 027,,E02001124,Oldham 027,E08000004,Oldham,,4448,True
4448,E02001125,Oldham 028,,E02001125,Oldham 028,E08000004,Oldham,,4449,True
4449,E02001126,Oldham 029,,E02001126,Oldham 029,E08000004,Oldham,,4450,True
4450,E02001176,Salford 020,,E02001176,Salford 020,E08000006,Salford,,4451,True
4451,E02001031,Bury 013,,E02001031,Bury 013,E08000002,Bury,,4452,True
4452,E02001127,Oldham 030,,E02001127,Oldham 030,E08000004,Oldham,,4453,True
4454,E02001221,Stockport 035,,E02001221,Stockport 035,E08000007,Stockport,,4455,True
4455,E02001321,Wigan 035,,E02001321,Wigan 035,E08000010,Wigan,,4456,True
4456,E02001271,Trafford 013,,E02001271,Trafford 013,E08000009,Trafford,,4457,True
4457,E02001032,Bury 014,,E02001032,Bury 014,E08000002,Bury,,4458,True
4458,E02001177,Salford 021,,E02001177,Salford 021,E08000006,Salford,,4459,True
4459,E02001272,Trafford 014,,E02001272,Trafford 014,E08000009,Trafford,,4460,True
4461,E02001322,Wigan 036,,E02001322,Wigan 036,E08000010,Wigan,,4462,True
4462,E02001033,Bury 015,,E02001033,Bury 015,E08000002,Bury,,4463,True
4463,E02001222,Stockport 036,,E02001222,Stockport 036,E08000007,Stockport,,4464,True
4464,E02001128,Oldham 031,,E02001128,Oldham 031,E08000004,Oldham,,4465,True
4465,E02001179,Salford 023,,E02001179,Salford 023,E08000006,Salford,,4466,True
4466,E02001273,Trafford 015,,E02001273,Trafford 015,E08000009,Trafford,,4467,True
4468,E02001323,Wigan 037,,E02001323,Wigan 037,E08000010,Wigan,,4469,True
4469,E02001034,Bury 016,,E02001034,Bury 016,E08000002,Bury,,4470,True
4470,E02001223,Stockport 037,,E02001223,Stockport 037,E08000007,Stockport,,4471,True
4471,E02001129,Oldham 032,,E02001129,Oldham 032,E08000004,Oldham,,4472,True
4472,E02001180,Salford 024,,E02001180,Salford 024,E08000006,Salford,,4473,True
4473,E02001274,Trafford 016,,E02001274,Trafford 016,E08000009,Trafford,,4474,True
4475,E02001324,Wigan 038,,E02001324,Wigan 038,E08000010,Wigan,,4476,True
4476,E02001035,Bury 017,,E02001035,Bury 017,E08000002,Bury,,4477,True
4477,E02001224,Stockport 038,,E02001224,Stockport 038,E08000007,Stockport,,4478,True
4478,E02001130,Oldham 033,,E02001130,Oldham 033,E08000004,Oldham,,4479,True
4479,E02001181,Salford 025,,E02001181,Salford 025,E08000006,Salford,,4480,True
4480,E02001182,Salford 026,,E02001182,Salford 026,E08000006,Salford,,4481,True
4481,E02001183,Salford 027,,E02001183,Salford 027,E08000006,Salford,,4482,True
4482,E02001185,Salford 029,,E02001185,Salford 029,E08000006,Salford,,4483,True
4483,E02001186,Salford 030,,E02001186,Salford 030,E08000006,Salford,,4484,True
4484,E02001172,Salford 016,,E02006957,Salford 031,E08000006,Salford,,4485,True
4485,E02001172,Salford 016,,E02006958,Salford 032,E08000006,Salford,,4486,True
4486,E02001178,Salford 022,,E02006959,Salford 033,E08000006,Salford,,4487,True
4487,E02001178,Salford 022,,E02006960,Salford 034,E08000006,Salford,,4488,True
4488,E02001184,Salford 028,,E02006961,Salford 035,E08000006,Salford,,4489,True
4489,E02001184,Salford 028,,E02006962,Salford 036,E08000006,Salford,,4490,True
4490,E02001184,Salford 028,,E02006963,Salford 037,E08000006,Salford,,4491,True
